timestamp,e_distance,e_theta,v,w
1722328167.214384755,2.98995,0.0131578,0.3,-0.62464
1722328167.242049321,2.98995,0.0131578,0.21235,-0.280597
1722328167.270798297,2.98806,0.0131996,0.299999,-0.468822
1722328167.301880554,2.98399,0.0159169,0.299999,-0.541324
1722328167.331393798,2.97786,0.0206157,0.299996,-0.467734
1722328167.360503675,2.97104,0.0311673,0.299999,-0.509906
1722328167.389106062,2.96326,0.0453287,0.299999,-0.50448
1722328167.418035053,2.95467,0.0644304,0.299999,-0.457144
1722328167.446699814,2.94596,0.084153,0.299999,-0.281656
1722328167.474286156,2.93752,0.101542,0.299999,-0.245406
1722328167.502603914,2.92906,0.11373,0.299999,-0.265382
1722328167.531051454,2.92055,0.123059,0.299999,-0.284373
1722328167.561645237,2.91174,0.133313,0.299999,-0.30308
1722328167.589548089,2.90263,0.144625,0.299999,-0.286789
1722328167.617115067,2.89424,0.155356,0.3,-0.335103
1722328167.645575200,2.88612,0.164465,0.299999,-0.261532
1722328167.675033263,2.87841,0.173113,0.299999,-0.280805
1722328167.703955106,2.87013,0.180363,0.299999,-0.310535
1722328167.731590186,2.86215,0.187518,0.299999,-0.358384
1722328167.759144714,2.8547,0.195193,0.299999,-0.308997
1722328167.789262071,2.84683,0.204951,0.299999,-0.327644
1722328167.818018279,2.83795,0.216556,0.299999,-0.298136
1722328167.852754879,2.8293,0.228337,0.299999,-0.311014
1722328167.884306740,2.8182,0.241086,0.299935,-0.243353
1722328167.913468561,2.80795,0.249714,0.299999,-0.292566
1722328167.941984450,2.79781,0.253759,0.299999,-0.376
1722328167.969663995,2.78773,0.255033,0.3,-0.464817
1722328167.997334993,2.77693,0.255384,0.3,-0.563065
1722328168.25081509,2.7658,0.255537,0.3,-0.651786
1722328168.54793101,2.75355,0.255745,0.299999,-0.699968
1722328168.84088932,2.73967,0.256016,0.299999,-0.699997
1722328168.111566897,2.72578,0.256104,0.299999,-0.699999
1722328168.140815333,2.71232,0.256136,0.299999,-0.699999
1722328168.169279374,2.69839,0.256178,0.299999,-0.699999
1722328168.197581671,2.68496,0.256279,0.3,-0.7
1722328168.226830127,2.67111,0.256831,0.299999,-0.7
1722328168.255216958,2.65741,0.258402,0.299999,-0.7
1722328168.283462645,2.64443,0.261641,0.299999,-0.7
1722328168.314142375,2.63142,0.267608,0.3,-0.7
1722328168.342852513,2.61881,0.277132,0.299999,-0.7
1722328168.370730807,2.60779,0.289648,0.3,-0.7
1722328168.400196138,2.59818,0.305385,0.3,-0.7
1722328168.428793802,2.58916,0.326096,0.299999,-0.7
1722328168.457441672,2.58057,0.350187,0.3,-0.699999
1722328168.486627138,2.57204,0.374434,0.3,-0.699999
1722328168.514994793,2.56257,0.401733,0.299999,-0.699768
1722328168.545075579,2.55349,0.428223,0.3,-0.541436
1722328168.573952711,2.54376,0.456616,0.3,-0.344191
1722328168.601763513,2.53446,0.48024,0.3,-0.197334
1722328168.630517498,2.52609,0.495891,0.3,-0.0655877
1722328168.658910868,2.51791,0.504905,0.3,-0.0348895
1722328168.687411269,2.5104,0.508178,0.3,-0.0541081
1722328168.714368364,2.50305,0.509335,0.3,-0.0889007
1722328168.741839027,2.49593,0.511026,0.3,-0.0770808
1722328168.768423792,2.48847,0.514165,0.3,-0.0921105
1722328168.799186037,2.48155,0.516865,0.3,-0.111497
1722328168.827243100,2.47329,0.520659,0.299999,-0.0744443
1722328168.855119445,2.46578,0.524841,0.3,-0.0802139
1722328168.882101691,2.45837,0.527793,0.3,-0.0925642
1722328168.909165709,2.45123,0.530722,0.3,-0.103804
1722328168.937093944,2.44409,0.534068,0.3,-0.0748759
1722328168.964112621,2.43668,0.537999,0.3,-0.0745606
1722328168.993907769,2.42962,0.540849,0.3,-0.0823092
1722328169.23264144,2.42184,0.543755,0.3,-0.0576917
1722328169.52625581,2.41441,0.546625,0.3,-0.0633637
1722328169.80089942,2.40696,0.548855,0.3,-0.0729906
1722328169.107335226,2.39982,0.551013,0.3,-0.0801673
1722328169.134813180,2.39308,0.55281,0.3,-0.0645776
1722328169.161548738,2.38648,0.553307,0.3,-0.0854456
1722328169.188128092,2.38042,0.553223,0.3,-0.108785
1722328169.215614512,2.37419,0.553347,0.3,-0.107651
1722328169.242484796,2.36785,0.553609,0.3,-0.127654
1722328169.269997410,2.36195,0.553923,0.3,-0.124403
1722328169.300507831,2.35554,0.555166,0.3,-0.134032
1722328169.328457573,2.34842,0.557612,0.3,-0.135324
1722328169.355401967,2.34147,0.561718,0.3,-0.112283
1722328169.385527200,2.33453,0.566238,0.3,-0.0713412
1722328169.414356247,2.32677,0.569379,0.3,-0.0656193
1722328169.442272746,2.3193,0.56968,0.3,-0.0729747
1722328169.470061796,2.31208,0.569551,0.3,-0.082956
1722328169.497792041,2.30484,0.569513,0.3,-0.0830192
1722328169.525521316,2.29782,0.569574,0.3,-0.0916342
1722328169.555863923,2.29057,0.569677,0.3,-0.0983208
1722328169.584556018,2.28282,0.569899,0.3,-0.110049
1722328169.613180768,2.2753,0.570297,0.3,-0.101775
1722328169.641789281,2.26778,0.571845,0.3,-0.0925791
1722328169.669807354,2.26069,0.574681,0.3,-0.0707662
1722328169.697903911,2.25371,0.578168,0.3,-0.0392391
1722328169.726606184,2.24659,0.580924,0.3,-0.015848
1722328169.755095199,2.23986,0.582362,0.3,-0.00506535
1722328169.782531322,2.233,0.582789,0.3,0.00227131
1722328169.812957367,2.22664,0.58278,0.3,0.00711561
1722328169.843046539,2.2196,0.5826,0.3,-0.00399642
1722328169.872961148,2.21257,0.582408,0.3,0.00169759
1722328169.901688384,2.20556,0.582565,0.3,0.0114866
1722328169.931311906,2.19879,0.582515,0.3,0.017203
1722328169.960897469,2.19179,0.582291,0.3,0.0200001
1722328169.990632497,2.18499,0.582243,0.3,0.0308811
1722328170.19272163,2.17793,0.582266,0.3,0.0430637
1722328170.49571991,2.17104,0.582287,0.3,0.0645284
1722328170.77435338,2.16385,0.582324,0.3,0.0548812
1722328170.106316981,2.157,0.582409,0.3,0.087408
1722328170.135176021,2.14999,0.582421,0.3,0.0990673
1722328170.164042166,2.14285,0.582214,0.3,0.117492
1722328170.192753835,2.13589,0.582131,0.3,0.116828
1722328170.221490437,2.12866,0.581673,0.3,0.135858
1722328170.251166298,2.12159,0.580599,0.3,0.150104
1722328170.279859843,2.11454,0.577723,0.3,0.143668
1722328170.310910068,2.10844,0.572586,0.3,0.13435
1722328170.340939323,2.10184,0.566214,0.299999,0.0628978
1722328170.368744902,2.09541,0.560531,0.3,0.0501186
1722328170.398245816,2.08921,0.557579,0.3,0.0725514
1722328170.427009358,2.08244,0.55559,0.3,0.0741807
1722328170.454612230,2.07625,0.553801,0.3,0.0647203
1722328170.483055081,2.07022,0.552954,0.3,0.101649
1722328170.511543623,2.06426,0.553245,0.3,0.133058
1722328170.543899838,2.05824,0.553148,0.3,0.169755
1722328170.574459210,2.05184,0.553063,0.299999,0.136364
1722328170.603827800,2.04587,0.552937,0.3,0.188819
1722328170.632179141,2.04015,0.552937,0.3,0.240931
1722328170.660226152,2.03481,0.552053,0.3,0.243582
1722328170.689003257,2.02953,0.55017,0.3,0.274247
1722328170.717718593,2.02446,0.547787,0.3,0.291518
1722328170.746506538,2.01926,0.543939,0.3,0.2594
1722328170.774028840,2.01405,0.538434,0.3,0.258638
1722328170.805496436,2.00894,0.532368,0.3,0.26951
1722328170.835551390,2.00287,0.523263,0.299999,0.152198
1722328170.864827180,1.99664,0.512064,0.299999,0.120246
1722328170.893683667,1.99046,0.505408,0.3,0.123239
